"Metai";"Mënuo";"Mënesio pajamos";"Amþius";"Lytis";"Apdraustøjø skaièius"
2010.0;"Sausis";"65,16-130,32 €";"25-34 metai";"Vyrai";7.29
2010.0;"Sausis";"65,16-130,32 €";"35-44 metai";"Visi apdraustieji";16.38
2010.0;"Sausis";"65,16-130,32 €";"35-44 metai";"Moterys";8.32
2010.0;"Sausis";"65,16-130,32 €";"35-44 metai";"Vyrai";8.06
2010.0;"Sausis";"65,16-130,32 €";"45-54 metai";"Visi apdraustieji";16.42
2010.0;"Sausis";"65,16-130,32 €";"45-54 metai";"Moterys";8.72
2010.0;"Sausis";"65,16-130,32 €";"45-54 metai";"Vyrai";7.7
2010.0;"Sausis";"65,16-130,32 €";"55-64 metai";"Visi apdraustieji";8.43
2010.0;"Sausis";"65,16-130,32 €";"55-64 metai";"Moterys";4.78
2010.0;"Sausis";"65,16-130,32 €";"55-64 metai";"Vyrai";3.64
2010.0;"Sausis";"65,16-130,32 €";"virð 65 metø";"Visi apdraustieji";3.56
2010.0;"Sausis";"65,16-130,32 €";"virð 65 metø";"Moterys";1.85
2010.0;"Sausis";"65,16-130,32 €";"virð 65 metø";"Vyrai";1.72
2010.0;"Sausis";"130,33-144,8 €";"Visos amþiaus grupës";"Visi apdraustieji";8.99
2010.0;"Sausis";"130,33-144,8 €";"Visos amþiaus grupës";"Moterys";4.78
2010.0;"Sausis";"130,33-144,8 €";"Visos amþiaus grupës";"Vyrai";4.21
2010.0;"Sausis";"130,33-144,8 €";"iki 24 metø";"Visi apdraustieji";1.11
2010.0;"Sausis";"130,33-144,8 €";"iki 24 metø";"Moterys";0.61
2010.0;"Sausis";"130,33-144,8 €";"iki 24 metø";"Vyrai";0.5
2010.0;"Sausis";"130,33-144,8 €";"25-34 metai";"Visi apdraustieji";1.77
2010.0;"Sausis";"130,33-144,8 €";"25-34 metai";"Moterys";0.85
2010.0;"Sausis";"130,33-144,8 €";"25-34 metai";"Vyrai";0.92
2010.0;"Sausis";"130,33-144,8 €";"35-44 metai";"Visi apdraustieji";2.15
2010.0;"Sausis";"130,33-144,8 €";"35-44 metai";"Moterys";1.12
2010.0;"Sausis";"130,33-144,8 €";"35-44 metai";"Vyrai";1.03
2010.0;"Sausis";"130,33-144,8 €";"45-54 metai";"Visi apdraustieji";2.24
2010.0;"Sausis";"130,33-144,8 €";"45-54 metai";"Moterys";1.23
2010.0;"Sausis";"130,33-144,8 €";"45-54 metai";"Vyrai";1.0
2010.0;"Sausis";"130,33-144,8 €";"55-64 metai";"Visi apdraustieji";1.24
2010.0;"Sausis";"130,33-144,8 €";"55-64 metai";"Moterys";0.72
2010.0;"Sausis";"130,33-144,8 €";"55-64 metai";"Vyrai";0.52
2010.0;"Sausis";"130,33-144,8 €";"virð 65 metø";"Visi apdraustieji";0.49
2010.0;"Sausis";"130,33-144,8 €";"virð 65 metø";"Moterys";0.25
2010.0;"Sausis";"130,33-144,8 €";"virð 65 metø";"Vyrai";0.24
2010.0;"Sausis";"144,81-159,28 €";"Visos amþiaus grupës";"Visi apdraustieji";6.54
2010.0;"Sausis";"144,81-159,28 €";"Visos amþiaus grupës";"Moterys";3.91
2010.0;"Sausis";"144,81-159,28 €";"Visos amþiaus grupës";"Vyrai";2.63
2010.0;"Sausis";"144,81-159,28 €";"iki 24 metø";"Visi apdraustieji";0.82
2010.0;"Sausis";"144,81-159,28 €";"iki 24 metø";"Moterys";0.5
2010.0;"Sausis";"144,81-159,28 €";"iki 24 metø";"Vyrai";0.32
2010.0;"Sausis";"144,81-159,28 €";"25-34 metai";"Visi apdraustieji";1.17
2010.0;"Sausis";"144,81-159,28 €";"25-34 metai";"Moterys";0.67
2010.0;"Sausis";"144,81-159,28 €";"25-34 metai";"Vyrai";0.5
2010.0;"Sausis";"144,81-159,28 €";"35-44 metai";"Visi apdraustieji";1.44
2010.0;"Sausis";"144,81-159,28 €";"35-44 metai";"Moterys";0.89
2010.0;"Sausis";"144,81-159,28 €";"35-44 metai";"Vyrai";0.56
2010.0;"Sausis";"144,81-159,28 €";"45-54 metai";"Visi apdraustieji";1.7
2010.0;"Sausis";"144,81-159,28 €";"45-54 metai";"Moterys";1.02
2010.0;"Sausis";"144,81-159,28 €";"45-54 metai";"Vyrai";0.68
2010.0;"Sausis";"144,81-159,28 €";"55-64 metai";"Visi apdraustieji";0.99
2010.0;"Sausis";"144,81-159,28 €";"55-64 metai";"Moterys";0.62
2010.0;"Sausis";"144,81-159,28 €";"55-64 metai";"Vyrai";0.38
2010.0;"Sausis";"144,81-159,28 €";"virð 65 metø";"Visi apdraustieji";0.41
2010.0;"Sausis";"144,81-159,28 €";"virð 65 metø";"Moterys";0.22
2010.0;"Sausis";"144,81-159,28 €";"virð 65 metø";"Vyrai";0.19
2010.0;"Sausis";"159,29-173,76 €";"Visos amþiaus grupës";"Visi apdraustieji";12.5
2010.0;"Sausis";"159,29-173,76 €";"Visos amþiaus grupës";"Moterys";7.83
2010.0;"Sausis";"159,29-173,76 €";"Visos amþiaus grupës";"Vyrai";4.67
2010.0;"Sausis";"159,29-173,76 €";"iki 24 metø";"Visi apdraustieji";1.37
2010.0;"Sausis";"159,29-173,76 €";"iki 24 metø";"Moterys";0.84
2010.0;"Sausis";"159,29-173,76 €";"iki 24 metø";"Vyrai";0.53
2010.0;"Sausis";"159,29-173,76 €";"25-34 metai";"Visi apdraustieji";2.28
2010.0;"Sausis";"159,29-173,76 €";"25-34 metai";"Moterys";1.29
2010.0;"Sausis";"159,29-173,76 €";"25-34 metai";"Vyrai";1.0
2010.0;"Sausis";"159,29-173,76 €";"35-44 metai";"Visi apdraustieji";2.89
2010.0;"Sausis";"159,29-173,76 €";"35-44 metai";"Moterys";1.85
2010.0;"Sausis";"159,29-173,76 €";"35-44 metai";"Vyrai";1.03
2010.0;"Sausis";"159,29-173,76 €";"45-54 metai";"Visi apdraustieji";3.31
2010.0;"Sausis";"159,29-173,76 €";"45-54 metai";"Moterys";2.18
2010.0;"Sausis";"159,29-173,76 €";"45-54 metai";"Vyrai";1.13
2010.0;"Sausis";"159,29-173,76 €";"55-64 metai";"Visi apdraustieji";1.95
2010.0;"Sausis";"159,29-173,76 €";"55-64 metai";"Moterys";1.28
2010.0;"Sausis";"159,29-173,76 €";"55-64 metai";"Vyrai";0.68
2010.0;"Sausis";"159,29-173,76 €";"virð 65 metø";"Visi apdraustieji";0.7
2010.0;"Sausis";"159,29-173,76 €";"virð 65 metø";"Moterys";0.39
2010.0;"Sausis";"159,29-173,76 €";"virð 65 metø";"Vyrai";0.31
2010.0;"Sausis";"173,77-202,72 €";"Visos amþiaus grupës";"Visi apdraustieji";15.89
2010.0;"Sausis";"173,77-202,72 €";"Visos amþiaus grupës";"Moterys";9.98
2010.0;"Sausis";"173,77-202,72 €";"Visos amþiaus grupës";"Vyrai";5.92
2010.0;"Sausis";"173,77-202,72 €";"iki 24 metø";"Visi apdraustieji";1.92
2010.0;"Sausis";"173,77-202,72 €";"iki 24 metø";"Moterys";1.14
2010.0;"Sausis";"173,77-202,72 €";"iki 24 metø";"Vyrai";0.78
2010.0;"Sausis";"173,77-202,72 €";"25-34 metai";"Visi apdraustieji";2.84
2010.0;"Sausis";"173,77-202,72 €";"25-34 metai";"Moterys";1.65
2010.0;"Sausis";"173,77-202,72 €";"25-34 metai";"Vyrai";1.19
2010.0;"Sausis";"173,77-202,72 €";"35-44 metai";"Visi apdraustieji";3.72
2010.0;"Sausis";"173,77-202,72 €";"35-44 metai";"Moterys";2.43
2010.0;"Sausis";"173,77-202,72 €";"35-44 metai";"Vyrai";1.29
2010.0;"Sausis";"173,77-202,72 €";"45-54 metai";"Visi apdraustieji";4.31
2010.0;"Sausis";"173,77-202,72 €";"45-54 metai";"Moterys";2.82
2010.0;"Sausis";"173,77-202,72 €";"45-54 metai";"Vyrai";1.49
2010.0;"Sausis";"173,77-202,72 €";"55-64 metai";"Visi apdraustieji";2.42
2010.0;"Sausis";"173,77-202,72 €";"55-64 metai";"Moterys";1.55
2010.0;"Sausis";"173,77-202,72 €";"55-64 metai";"Vyrai";0.88
2010.0;"Sausis";"173,77-202,72 €";"virð 65 metø";"Visi apdraustieji";0.69
2010.0;"Sausis";"173,77-202,72 €";"virð 65 metø";"Moterys";0.39
2010.0;"Sausis";"173,77-202,72 €";"virð 65 metø";"Vyrai";0.3
2010.0;"Sausis";"202,73-231,69 € (MMA)";"Visos amþiaus grupës";"Visi apdraustieji";99.77
2010.0;"Sausis";"202,73-231,69 € (MMA)";"Visos amþiaus grupës";"Moterys";57.35
2010.0;"Sausis";"202,73-231,69 € (MMA)";"Visos amþiaus grupës";"Vyrai";42.43
2010.0;"Sausis";"202,73-231,69 € (MMA)";"iki 24 metø";"Visi apdraustieji";8.98
2010.0;"Sausis";"202,73-231,69 € (MMA)";"iki 24 metø";"Moterys";4.51
2010.0;"Sausis";"202,73-231,69 € (MMA)";"iki 24 metø";"Vyrai";4.47
2010.0;"Sausis";"202,73-231,69 € (MMA)";"25-34 metai";"Visi apdraustieji";19.53
2010.0;"Sausis";"202,73-231,69 € (MMA)";"25-34 metai";"Moterys";9.82
2010.0;"Sausis";"202,73-231,69 € (MMA)";"25-34 metai";"Vyrai";9.71
2010.0;"Sausis";"202,73-231,69 € (MMA)";"35-44 metai";"Visi apdraustieji";26.48
2010.0;"Sausis";"202,73-231,69 € (MMA)";"35-44 metai";"Moterys";15.64
2010.0;"Sausis";"202,73-231,69 € (MMA)";"35-44 metai";"Vyrai";10.85
2010.0;"Sausis";"202,73-231,69 € (MMA)";"45-54 metai";"Visi apdraustieji";28.54
2010.0;"Sausis";"202,73-231,69 € (MMA)";"45-54 metai";"Moterys";17.71
2010.0;"Sausis";"202,73-231,69 € (MMA)";"45-54 metai";"Vyrai";10.83
2010.0;"Sausis";"202,73-231,69 € (MMA)";"55-64 metai";"Visi apdraustieji";13.52
2010.0;"Sausis";"202,73-231,69 € (MMA)";"55-64 metai";"Moterys";8.29
2010.0;"Sausis";"202,73-231,69 € (MMA)";"55-64 metai";"Vyrai";5.24
2010.0;"Sausis";"202,73-231,69 € (MMA)";"virð 65 metø";"Visi apdraustieji";2.73
2010.0;"Sausis";"202,73-231,69 € (MMA)";"virð 65 metø";"Moterys";1.39
2010.0;"Sausis";"202,73-231,69 € (MMA)";"virð 65 metø";"Vyrai";1.34
2010.0;"Sausis";"231,7-289,61 €";"Visos amþiaus grupës";"Visi apdraustieji";89.61
2010.0;"Sausis";"231,7-289,61 €";"Visos amþiaus grupës";"Moterys";54.24
2010.0;"Sausis";"231,7-289,61 €";"Visos amþiaus grupës";"Vyrai";35.37
2010.0;"Sausis";"231,7-289,61 €";"iki 24 metø";"Visi apdraustieji";8.35
2010.0;"Sausis";"231,7-289,61 €";"iki 24 metø";"Moterys";4.55
2010.0;"Sausis";"231,7-289,61 €";"iki 24 metø";"Vyrai";3.79
2010.0;"Sausis";"231,7-289,61 €";"25-34 metai";"Visi apdraustieji";16.65
2010.0;"Sausis";"231,7-289,61 €";"25-34 metai";"Moterys";9.3
2010.0;"Sausis";"231,7-289,61 €";"25-34 metai";"Vyrai";7.36
2010.0;"Sausis";"231,7-289,61 €";"35-44 metai";"Visi apdraustieji";23.3
2010.0;"Sausis";"231,7-289,61 €";"35-44 metai";"Moterys";14.61
2010.0;"Sausis";"231,7-289,61 €";"35-44 metai";"Vyrai";8.7
2010.0;"Sausis";"231,7-289,61 €";"45-54 metai";"Visi apdraustieji";25.81
2010.0;"Sausis";"231,7-289,61 €";"45-54 metai";"Moterys";16.46
2010.0;"Sausis";"231,7-289,61 €";"45-54 metai";"Vyrai";9.35
2010.0;"Sausis";"231,7-289,61 €";"55-64 metai";"Visi apdraustieji";13.08
2010.0;"Sausis";"231,7-289,61 €";"55-64 metai";"Moterys";8.1
2010.0;"Sausis";"231,7-289,61 €";"55-64 metai";"Vyrai";4.98
2010.0;"Sausis";"231,7-289,61 €";"virð 65 metø";"Visi apdraustieji";2.42
2010.0;"Sausis";"231,7-289,61 €";"virð 65 metø";"Moterys";1.23
2010.0;"Sausis";"231,7-289,61 €";"virð 65 metø";"Vyrai";1.19
2010.0;"Sausis";"289,62-434,42 €";"Visos amþiaus grupës";"Visi apdraustieji";189.44
2010.0;"Sausis";"289,62-434,42 €";"Visos amþiaus grupës";"Moterys";104.2
2010.0;"Sausis";"289,62-434,42 €";"Visos amþiaus grupës";"Vyrai";85.24
2010.0;"Sausis";"289,62-434,42 €";"iki 24 metø";"Visi apdraustieji";15.66
2010.0;"Sausis";"289,62-434,42 €";"iki 24 metø";"Moterys";7.97
2010.0;"Sausis";"289,62-434,42 €";"iki 24 metø";"Vyrai";7.69
2010.0;"Sausis";"289,62-434,42 €";"25-34 metai";"Visi apdraustieji";36.09
2010.0;"Sausis";"289,62-434,42 €";"25-34 metai";"Moterys";18.93
2010.0;"Sausis";"289,62-434,42 €";"25-34 metai";"Vyrai";17.16
2010.0;"Sausis";"289,62-434,42 €";"35-44 metai";"Visi apdraustieji";50.59
2010.0;"Sausis";"289,62-434,42 €";"35-44 metai";"Moterys";28.41
2010.0;"Sausis";"289,62-434,42 €";"35-44 metai";"Vyrai";22.17
2010.0;"Sausis";"289,62-434,42 €";"45-54 metai";"Visi apdraustieji";55.51
2010.0;"Sausis";"289,62-434,42 €";"45-54 metai";"Moterys";31.53
2010.0;"Sausis";"289,62-434,42 €";"45-54 metai";"Vyrai";23.98
2010.0;"Sausis";"289,62-434,42 €";"55-64 metai";"Visi apdraustieji";27.25
2010.0;"Sausis";"289,62-434,42 €";"55-64 metai";"Moterys";15.43
2010.0;"Sausis";"289,62-434,42 €";"55-64 metai";"Vyrai";11.82
2010.0;"Sausis";"289,62-434,42 €";"virð 65 metø";"Visi apdraustieji";4.35
2010.0;"Sausis";"289,62-434,42 €";"virð 65 metø";"Moterys";1.93
2010.0;"Sausis";"289,62-434,42 €";"virð 65 metø";"Vyrai";2.43
2010.0;"Sausis";"434,43-579,23 €";"Visos amþiaus grupës";"Visi apdraustieji";126.82
2010.0;"Sausis";"434,43-579,23 €";"Visos amþiaus grupës";"Moterys";71.99
2010.0;"Sausis";"434,43-579,23 €";"Visos amþiaus grupës";"Vyrai";54.83
2010.0;"Sausis";"434,43-579,23 €";"iki 24 metø";"Visi apdraustieji";9.48
2010.0;"Sausis";"434,43-579,23 €";"iki 24 metø";"Moterys";4.35
2010.0;"Sausis";"434,43-579,23 €";"iki 24 metø";"Vyrai";5.14
2010.0;"Sausis";"434,43-579,23 €";"25-34 metai";"Visi apdraustieji";27.17
2010.0;"Sausis";"434,43-579,23 €";"25-34 metai";"Moterys";14.73
2010.0;"Sausis";"434,43-579,23 €";"25-34 metai";"Vyrai";12.44
2010.0;"Sausis";"434,43-579,23 €";"35-44 metai";"Visi apdraustieji";32.88
2010.0;"Sausis";"434,43-579,23 €";"35-44 metai";"Moterys";20.28
2010.0;"Sausis";"434,43-579,23 €";"35-44 metai";"Vyrai";12.6
2010.0;"Sausis";"434,43-579,23 €";"45-54 metai";"Visi apdraustieji";36.29
2010.0;"Sausis";"434,43-579,23 €";"45-54 metai";"Moterys";21.5
2010.0;"Sausis";"434,43-579,23 €";"45-54 metai";"Vyrai";14.8
2010.0;"Sausis";"434,43-579,23 €";"55-64 metai";"Visi apdraustieji";18.59
2010.0;"Sausis";"434,43-579,23 €";"55-64 metai";"Moterys";9.98
2010.0;"Sausis";"434,43-579,23 €";"55-64 metai";"Vyrai";8.61
2010.0;"Sausis";"434,43-579,23 €";"virð 65 metø";"Visi apdraustieji";2.41
2010.0;"Sausis";"434,43-579,23 €";"virð 65 metø";"Moterys";1.15
2010.0;"Sausis";"434,43-579,23 €";"virð 65 metø";"Vyrai";1.25
2010.0;"Sausis";"579,24-724,04 €";"Visos amþiaus grupës";"Visi apdraustieji";91.33
2010.0;"Sausis";"579,24-724,04 €";"Visos amþiaus grupës";"Moterys";51.19
2010.0;"Sausis";"579,24-724,04 €";"Visos amþiaus grupës";"Vyrai";40.14
2010.0;"Sausis";"579,24-724,04 €";"iki 24 metø";"Visi apdraustieji";4.98
2010.0;"Sausis";"579,24-724,04 €";"iki 24 metø";"Moterys";2.17
2010.0;"Sausis";"579,24-724,04 €";"iki 24 metø";"Vyrai";2.81
2010.0;"Sausis";"579,24-724,04 €";"25-34 metai";"Visi apdraustieji";20.4
2010.0;"Sausis";"579,24-724,04 €";"25-34 metai";"Moterys";10.58
2010.0;"Sausis";"579,24-724,04 €";"25-34 metai";"Vyrai";9.83
2010.0;"Sausis";"579,24-724,04 €";"35-44 metai";"Visi apdraustieji";23.67
2010.0;"Sausis";"579,24-724,04 €";"35-44 metai";"Moterys";14.22
2010.0;"Sausis";"579,24-724,04 €";"35-44 metai";"Vyrai";9.45
2010.0;"Sausis";"579,24-724,04 €";"45-54 metai";"Visi apdraustieji";26.81
2010.0;"Sausis";"579,24-724,04 €";"45-54 metai";"Moterys";15.84
2010.0;"Sausis";"579,24-724,04 €";"45-54 metai";"Vyrai";10.97
2010.0;"Sausis";"579,24-724,04 €";"55-64 metai";"Visi apdraustieji";13.89
2010.0;"Sausis";"579,24-724,04 €";"55-64 metai";"Moterys";7.61
2010.0;"Sausis";"579,24-724,04 €";"55-64 metai";"Vyrai";6.28
2010.0;"Sausis";"579,24-724,04 €";"virð 65 metø";"Visi apdraustieji";1.58
2010.0;"Sausis";"579,24-724,04 €";"virð 65 metø";"Moterys";0.78
2010.0;"Sausis";"579,24-724,04 €";"virð 65 metø";"Vyrai";0.81
2010.0;"Sausis";"724,05-868,85 €";"Visos amþiaus grupës";"Visi apdraustieji";68.13
2010.0;"Sausis";"724,05-868,85 €";"Visos amþiaus grupës";"Moterys";39.17
2010.0;"Sausis";"724,05-868,85 €";"Visos amþiaus grupës";"Vyrai";28.96
2010.0;"Sausis";"724,05-868,85 €";"iki 24 metø";"Visi apdraustieji";2.7
2010.0;"Sausis";"724,05-868,85 €";"iki 24 metø";"Moterys";1.18
2010.0;"Sausis";"724,05-868,85 €";"iki 24 metø";"Vyrai";1.53
2010.0;"Sausis";"724,05-868,85 €";"25-34 metai";"Visi apdraustieji";15.76
2010.0;"Sausis";"724,05-868,85 €";"25-34 metai";"Moterys";8.03
2010.0;"Sausis";"724,05-868,85 €";"25-34 metai";"Vyrai";7.73
2010.0;"Sausis";"724,05-868,85 €";"35-44 metai";"Visi apdraustieji";17.75
2010.0;"Sausis";"724,05-868,85 €";"35-44 metai";"Moterys";10.93
2010.0;"Sausis";"724,05-868,85 €";"35-44 metai";"Vyrai";6.83
2010.0;"Sausis";"724,05-868,85 €";"45-54 metai";"Visi apdraustieji";20.18
2010.0;"Sausis";"724,05-868,85 €";"45-54 metai";"Moterys";12.3
2010.0;"Sausis";"724,05-868,85 €";"45-54 metai";"Vyrai";7.88
2010.0;"Sausis";"724,05-868,85 €";"55-64 metai";"Visi apdraustieji";10.51
2010.0;"Sausis";"724,05-868,85 €";"55-64 metai";"Moterys";6.11
2010.0;"Sausis";"724,05-868,85 €";"55-64 metai";"Vyrai";4.4
2010.0;"Sausis";"724,05-868,85 €";"virð 65 metø";"Visi apdraustieji";1.22
2010.0;"Sausis";"724,05-868,85 €";"virð 65 metø";"Moterys";0.62
2010.0;"Sausis";"724,05-868,85 €";"virð 65 metø";"Vyrai";0.6
2010.0;"Sausis";"868,86-1158,47 €";"Visos amþiaus grupës";"Visi apdraustieji";73.38
2010.0;"Sausis";"868,86-1158,47 €";"Visos amþiaus grupës";"Moterys";41.05
2010.0;"Sausis";"868,86-1158,47 €";"Visos amþiaus grupës";"Vyrai";32.33
2010.0;"Sausis";"868,86-1158,47 €";"iki 24 metø";"Visi apdraustieji";1.8
2010.0;"Sausis";"868,86-1158,47 €";"iki 24 metø";"Moterys";0.7
2010.0;"Sausis";"868,86-1158,47 €";"iki 24 metø";"Vyrai";1.1
2010.0;"Sausis";"868,86-1158,47 €";"25-34 metai";"Visi apdraustieji";16.71
2010.0;"Sausis";"868,86-1158,47 €";"25-34 metai";"Moterys";7.69
2010.0;"Sausis";"868,86-1158,47 €";"25-34 metai";"Vyrai";9.03
2010.0;"Sausis";"868,86-1158,47 €";"35-44 metai";"Visi apdraustieji";19.4
2010.0;"Sausis";"868,86-1158,47 €";"35-44 metai";"Moterys";11.44
2010.0;"Sausis";"868,86-1158,47 €";"35-44 metai";"Vyrai";7.96
2010.0;"Sausis";"868,86-1158,47 €";"45-54 metai";"Visi apdraustieji";22.76
2010.0;"Sausis";"868,86-1158,47 €";"45-54 metai";"Moterys";14.04
2010.0;"Sausis";"868,86-1158,47 €";"45-54 metai";"Vyrai";8.73
2010.0;"Sausis";"868,86-1158,47 €";"55-64 metai";"Visi apdraustieji";11.37
2010.0;"Sausis";"868,86-1158,47 €";"55-64 metai";"Moterys";6.54
2010.0;"Sausis";"868,86-1158,47 €";"55-64 metai";"Vyrai";4.83
2010.0;"Sausis";"868,86-1158,47 €";"virð 65 metø";"Visi apdraustieji";1.33
2010.0;"Sausis";"868,86-1158,47 €";"virð 65 metø";"Moterys";0.64
2010.0;"Sausis";"868,86-1158,47 €";"virð 65 metø";"Vyrai";0.69
2010.0;"Sausis";"1158,48-1303,28 €";"Visos amþiaus grupës";"Visi apdraustieji";17.37
2010.0;"Sausis";"1158,48-1303,28 €";"Visos amþiaus grupës";"Moterys";8.46
2010.0;"Sausis";"1158,48-1303,28 €";"Visos amþiaus grupës";"Vyrai";8.91
2010.0;"Sausis";"1158,48-1303,28 €";"iki 24 metø";"Visi apdraustieji";0.36
2010.0;"Sausis";"1158,48-1303,28 €";"iki 24 metø";"Moterys";0.13
2010.0;"Sausis";"1158,48-1303,28 €";"iki 24 metø";"Vyrai";0.23
2010.0;"Sausis";"1158,48-1303,28 €";"25-34 metai";"Visi apdraustieji";4.21
2010.0;"Sausis";"1158,48-1303,28 €";"25-34 metai";"Moterys";1.7
2010.0;"Sausis";"1158,48-1303,28 €";"25-34 metai";"Vyrai";2.51
2010.0;"Sausis";"1158,48-1303,28 €";"35-44 metai";"Visi apdraustieji";4.52
2010.0;"Sausis";"1158,48-1303,28 €";"35-44 metai";"Moterys";2.32
2010.0;"Sausis";"1158,48-1303,28 €";"35-44 metai";"Vyrai";2.2
2010.0;"Sausis";"1158,48-1303,28 €";"45-54 metai";"Visi apdraustieji";5.2
2010.0;"Sausis";"1158,48-1303,28 €";"45-54 metai";"Moterys";2.78
2010.0;"Sausis";"1158,48-1303,28 €";"45-54 metai";"Vyrai";2.42
2010.0;"Sausis";"1158,48-1303,28 €";"55-64 metai";"Visi apdraustieji";2.68
2010.0;"Sausis";"1158,48-1303,28 €";"55-64 metai";"Moterys";1.37
2010.0;"Sausis";"1158,48-1303,28 €";"55-64 metai";"Vyrai";1.31
2010.0;"Sausis";"1158,48-1303,28 €";"virð 65 metø";"Visi apdraustieji";0.41
2010.0;"Sausis";"1158,48-1303,28 €";"virð 65 metø";"Moterys";0.16
2010.0;"Sausis";"1158,48-1303,28 €";"virð 65 metø";"Vyrai";0.25
2010.0;"Sausis";"1303,29-1448,09 €";"Visos amþiaus grupës";"Visi apdraustieji";11.88
2010.0;"Sausis";"1303,29-1448,09 €";"Visos amþiaus grupës";"Moterys";5.39
2010.0;"Sausis";"1303,29-1448,09 €";"Visos amþiaus grupës";"Vyrai";6.49
2010.0;"Sausis";"1303,29-1448,09 €";"iki 24 metø";"Visi apdraustieji";0.18
2010.0;"Sausis";"1303,29-1448,09 €";"iki 24 metø";"Moterys";0.06
2010.0;"Sausis";"1303,29-1448,09 €";"iki 24 metø";"Vyrai";0.12
2010.0;"Sausis";"1303,29-1448,09 €";"25-34 metai";"Visi apdraustieji";3.05
2010.0;"Sausis";"1303,29-1448,09 €";"25-34 metai";"Moterys";1.2
2010.0;"Sausis";"1303,29-1448,09 €";"25-34 metai";"Vyrai";1.85
2010.0;"Sausis";"1303,29-1448,09 €";"35-44 metai";"Visi apdraustieji";3.09
2010.0;"Sausis";"1303,29-1448,09 €";"35-44 metai";"Moterys";1.41
2010.0;"Sausis";"1303,29-1448,09 €";"35-44 metai";"Vyrai";1.68
2010.0;"Sausis";"1303,29-1448,09 €";"45-54 metai";"Visi apdraustieji";3.47
2010.0;"Sausis";"1303,29-1448,09 €";"45-54 metai";"Moterys";1.73
2010.0;"Sausis";"1303,29-1448,09 €";"45-54 metai";"Vyrai";1.74
2010.0;"Sausis";"1303,29-1448,09 €";"55-64 metai";"Visi apdraustieji";1.82
2010.0;"Sausis";"1303,29-1448,09 €";"55-64 metai";"Moterys";0.88
2010.0;"Sausis";"1303,29-1448,09 €";"55-64 metai";"Vyrai";0.94
2010.0;"Sausis";"1303,29-1448,09 €";"virð 65 metø";"Visi apdraustieji";0.27
2010.0;"Sausis";"1303,29-1448,09 €";"virð 65 metø";"Moterys";0.11
2010.0;"Sausis";"1303,29-1448,09 €";"virð 65 metø";"Vyrai";0.16
2010.0;"Sausis";"1448,1-1737,71 €";"Visos amþiaus grupës";"Visi apdraustieji";13.89
2010.0;"Sausis";"1448,1-1737,71 €";"Visos amþiaus grupës";"Moterys";5.92
2010.0;"Sausis";"1448,1-1737,71 €";"Visos amþiaus grupës";"Vyrai";7.97
